filename,path,true_label,predicted_label,confidence,explanation,ocr_text,raw_response,correct
14.png,/content/raw/toxic/14.png,токсичный,нетоксичный,высокая,"Этот мем представляет собой вендикум, где каждая из трех областей (самомнение, врач, блогер) пересекается с областями ""скудоумие"", ""бариста"" и ""хамство"". Это не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти. Таким образом, этот мем относится к нетоксичным контенту.",самомнение блогер врач скудоумие ХамствО бариста,"КЛАССИФИКАЦИЯ: нетоксичный
УВЕРЕННОСТЬ: высокая
ОБЪЯСНЕНИЕ: Этот мем представляет собой вендикум, где каждая из трех областей (самомнение, врач, блогер) пересекается с областями ""скудоумие"", ""бариста"" и ""хамство"". Это не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или языку. Он также не содержит пропаганды ненависти. Таким образом, этот мем относится к нетоксичным контенту.",False
11.png,/content/raw/toxic/11.png,токсичный,нетоксичный,высокая,"Этот мем представляет собой обычный интернет-юмор, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",В Сибири обнаружены останки летней недоразвитой цивилизации,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",False
12.png,/content/raw/toxic/12.png,токсичный,неттоксичный,средняя,"Этот мем - это обычный интернет-юмор, который использует шутки и абстрактный юмор. Он не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии, и не содержит пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самойиронии, критики явлений.",Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашь Нервы сдали и ты сдашъ Нервы сдали и ты сдашь Нервы сдали и ты сдашъ Нервы сдали и ты сдашь Нервы сдали и ты сдашъ Нервы сдали и ты сдашь,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем - это обычный интернет-юмор, который использует шутки и абстрактный юмор. Он не содержит прямых оскорблений конкретных людей или групп, не содержит призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии, и не содержит пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самойиронии, критики явлений.",False
9.png,/content/raw/toxic/9.png,токсичный,токсичный,высокая,"Мем содержит реальную агрессию, призыв к насилию и дискриминации. Он представляет собой унизительный и ненавистный сюжет, который несет в себе токсичные элементы.","ОБШЕСТВО Московским школьникам продлили зимние каникулы до 17 января 29 декабря 2020, 1B 04 '194 Остальная Россия: спасибо;","КЛАССИФИКАЦИЯ: Токсичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Мем содержит реальную агрессию, призыв к насилию и дискриминации. Он представляет собой унизительный и ненавистный сюжет, который несет в себе токсичные элементы.",True
8.png,/content/raw/toxic/8.png,токсичный,токсичный,высокая,"Мем содержит прямые оскорбления конкретного человека, призыв к насилию и дискриминации. Он также содержит унижение по национальности и религии.",ШРЕШЕЕ ЕЕР& (ЗЛИШЕШШИШП,"КЛАССИФИКАЦИЯ: Токсичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Мем содержит прямые оскорбления конкретного человека, призыв к насилию и дискриминации. Он также содержит унижение по национальности и религии.",True
16.png,/content/raw/toxic/16.png,токсичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",0.08 Google негры Bce Картинки Видео Купить Короткие,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",False
2.png,/content/raw/toxic/2.png,токсичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений.",вот эти существа специально долго отвечают на сообщения,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит прямых оскорблений, призывов к насилию или дискриминации, не содержит унижения по национальности, полу, религии или пропаганды ненависти. Он также не содержит черного юмора без конкретных жертв или самоиронии, критики явлений.",False
7.png,/content/raw/toxic/7.png,токсичный,нетоксичный,высокая,"Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",Google Q зарплата клоуна в москве Bce Новости Картинки Карты Видео Пог Средняя зарплата айтишника Самые востребованные в IT Актуальные данные от рынка для принятия бизнес- решений в области найма и кадровой политики. Какую вилку зарплаты указывать в.,"КЛАССИФИКАЦИЯ: Нетоксичный
УВЕРЕННОСТЬ: Высокая
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит унижения по национальности, полу, религии или пропаганды ненависти.",False
4.png,/content/raw/toxic/4.png,токсичный,нетоксичный,средняя,"Этот мем представляет собой обычный интернет-юмор, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или унижений по национальности, полу, религии.","продукты которыми пользуются миллионы людей! Яндекс я посмотрел эту картинку и возбудился; вот бы потрогать ee, сейчас буду a потом свою ботать алгоритмы Яндекс станцию я бы хотел, чтобы она мне дала оффер компания c мировым сырок Александров именем каждый день?!","КЛАССИФИКАЦИЯ: НЕТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем представляет собой обычный интернет-юмор, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или унижений по национальности, полу, религии.",False
1.png,/content/raw/toxic/1.png,токсичный,неттоксичный,средняя,"Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или унижений по национальности, полу, религии. Он просто представляет ситуацию, которая может вызвать смех или удивление.",@ШЫШШШШТЕШ ПП ШЯЫВШИВ ОППШШ(Н,"КЛАССИФИКАЦИЯ: НЕТТОКСИЧНЫЙ
УВЕРЕННОСТЬ: СРЕДНЯЯ
ОБЪЯСНЕНИЕ: Этот мем является обычным интернет-юмором, который не содержит реальных оскорблений, призывов к насилию или дискриминации. Он также не содержит конкретных жертв или унижений по национальности, полу, религии. Он просто представляет ситуацию, которая может вызвать смех или удивление.",False
